Ruta,Bytes,SHA256
.gitignore,116,2444de7689eae170c2db21196fa5519131ae1c50138afdfb6f5923af7af613cb
LICENSE,1069,3e5c07ba6eed2df17d577066c5b73586cf6ae4fdb466634984674706ccaff01d
README.md,24652,2a7f5510f77893e840e9ce38aa766a3416fca8fee24e9c57536fd817a78ad957
Semana1/data/README.md,689,3909fc07f0792cec8c30c7b86c78fa3692caea05c8524985461bf75e69115a26
Semana1/data/iris_original.csv,4012,b28b9f3b8f545b0eab88bd7d36ddfceb4edd54395daaa504894fe4f84181b016
Semana1/docs/DECISIONES_TECNICAS.md,4218,174a118fe8930dcfd224c14b798014f84ed9acc4ff94d3bc1affb5570806a6d6
Semana1/docs/FUENTES.md,1798,52f1747b6cd509fdc85223e967dfc8c8dfb938baef4a8cef6d26d5fbfc0d7a37
Semana1/docs/TRAZABILIDAD.md,3731,e046bca608b591eea4b67e624315b6c8c7fb62a608e7ff146dfa6a4540b5d40a
Semana1/figures/boxplot_variables.png,126611,d448f2d1af6590e9ccadf5eb76cb9fe3e2e78970d4338b0f7a1c2f02d8bb74ec
Semana1/figures/correlacion_pearson.png,145351,cf6b7f12cf70142e262f4b733d50c790e28fcd0ba0983ff79722ccdb9b859257
Semana1/figures/distribucion_species.png,74071,189d3521777577d35b957b16db19318937606ea5c2af4e60385e9bee4e845fd0
Semana1/figures/flujo_kdd.png,199182,3ce75f71455b0c332cbfbb3589f5b52a0a354c1169a7c51165ae44f89ff53763
Semana1/figures/pvalores_pearson.png,132615,7cc0b7abc4f4510b6a359c9de7b20ca2f782f3a66252e387e2008799dec45eb1
Semana1/informe/MCDI504_S1_1_GRUPO6.pdf,565765,85027dea44f9e10afc5c18aa82c50f8644722723cd33091856d8bbd83642a32c
Semana1/notebook/F1_Definicion.ipynb,309630,b1d77adda97adbc9ad044b1991cec77102c15f0216430b01778f8a1acb825663
Semana1/outputs/atipicos_tukey.csv,164,a18831dd8d86ea665cdabe6fa3fdfa4bd7d83030b471a9e152e734964d01961d
Semana1/outputs/codificacion_species.csv,66,a710dbe0e3a758a24c23c006ddf628595de3cd5b982aac742b98fd242e9fe268
Semana1/outputs/comparacion_enfoques.csv,772,d908db45597a3f1e9a02cb0b8f9d02a0f3f57d2a1e7a02166df23800fc0afa14
Semana1/outputs/control_integridad.csv,174,839d4403544c2456d297aff598f2753ccc54cfb6f629e55b444a4f40083d23f3
Semana1/outputs/correlacion_predictores.csv,369,772c0d9aebbc2786c4beb1529f9336ba969ca8a68e6f9b99d27bcb9565484fea
Semana1/outputs/correlacion_species_exploratoria.csv,117,1d69795783080fd1a284db9a4ddb5ff5c5495d6591c42240c839e4646a0e8561
Semana1/outputs/distribucion_clases.csv,92,2e80125406f80344731fcae026f2897b71e0641d19036a4601abd4126857fb0f
