Ruta,Bytes,SHA256
Semana3/outputs/00_versiones_entorno.csv,101,67581d18b07aa79696672e437688bd817e23120921635e9a46b02aac74fa6a5a
Semana3/outputs/01_reg_perfil_dataset.csv,109,9138fadea36198ae3905c18a0beeb260befe296249524275c998b094e113f2d6
Semana3/outputs/02_reg_control_nulos.csv,141,caf0c6ca35291b99cf41c94cde14b8ea1aafbc89ce8310c7e23d52e087af98aa
Semana3/outputs/03_reg_estadisticos_descriptivos.csv,1059,345ac8e0f7096b75458ad96b7d7802ebf98b978707f77b5b8cdff3453b85ae2b
Semana3/outputs/04_reg_dimensiones_split.csv,99,5ee67663d779fd01f535dd26277a4d4d5c0f49afc277e84ebead7237f77d453a
Semana3/outputs/05_reg_correlaciones_entrenamiento.csv,283,1dc719528d5ac3c72c6980906c5ef8b3d0eb75e3c2651df9120ad26c89a50006
Semana3/outputs/06_reg_parametros_standard_scaler.csv,427,13ac381d15a9b1863e906b1f6334b73d369c4c5b30de3bc4ab5bdb6a157a6e78
Semana3/outputs/07_reg_fichas_configuracion_inicial.csv,475,90ae6be83c8053c54bef4a90ae4dfb264c5677f7873bd8d151151afc4bccf131
Semana3/outputs/08_reg_ajuste_hiperparametros_cv.csv,8023,66aa2a088bf135dfb20ff33f62e33f54e3603ce6751dfe401b585660d1b4414b
Semana3/outputs/09_reg_mejores_hiperparametros.json,77,3cf7086e84d7d537f34c56636e4046754c8f06433cd2753f91613bb417f74ae2
Semana3/outputs/10_reg_metricas_comparacion.csv,990,d6e0e738f8f020bc3f4c32c7f89e7b92c9c20996ec75568ecdaa3d129acec4a7
Semana3/outputs/11_reg_predicciones_test.csv,408758,dcf9d036518f8d32b5af2c0a3f82a82e6b91e128d4402f285cc46e87081b4aa8
Semana3/outputs/12_clf_perfil_dataset.csv,141,b5bf5f388efaf0763129d0d2b87b3a9b9dfd8392d7b251114479303e7ea66bf5
Semana3/outputs/13_clf_valores_faltantes.csv,104,6aa2b018195016bfb21379f4dfaa4efbde870bf38507a17724c2bc25b2b721d1
Semana3/outputs/14_clf_seleccion_variables.csv,617,a61a02ec7e4b4349b120ec0b62d3fddc7df0a9d8ad833c10d78c65b0e5e5d2ce
Semana3/outputs/14b_clf_control_filas_repetidas.csv,326,2983a18074144e8e52843c16c7f12b5d6278a4b00e4295857a5dedce2e1babb8
Semana3/outputs/15_clf_distribucion_clases.csv,79,e88871201ee4fe1d688300386fe32101ff650e44f1bdfa2de1ff9ec54dbdc7e1
Semana3/outputs/16_clf_diagnostico_balance.csv,150,248d6d359d7babe90540a33496960661a53ec4f14f00e28f4e0e379e96e225cd
Semana3/outputs/17_clf_patrones_categoricos.csv,328,f1cf6893d2b6d351144ef9cc244882499466812ea96774e4f10f3a7fd109c68f
Semana3/outputs/18_clf_patrones_numericos.csv,557,9a302b98024657e9a7588700effe48c8edb2ce84a9185247923b64a8ee706245
Semana3/outputs/19_clf_dimensiones_split.csv,64,da95a7b65019d9b78cf815120d0710af413fea444f95196fe88fc74a1691e6e0
Semana3/outputs/20_clf_variables_transformadas.csv,90,49d7a8d5c6ff526825880c0768f0acb808e0dfc837a3deeee6fd07ffa25364e3
Semana3/outputs/21_clf_balance_train_test.csv,104,353637a7580f0f38d7912d8a9a02785b7d5241061ab6a11e29d0fea2877962c3
Semana3/outputs/21b_clf_control_preprocesamiento.csv,95,6006dafc194d0f7148fdd38adfead9fcff0945fdd887c2a4ee4103671540b082
Semana3/outputs/22_clf_fichas_tecnicas_mlp.csv,463,cc33827f0ca85a3602a5c838ac23346c84129e67ac13f7b8ffa2cf7608eb6941
Semana3/outputs/23_clf_metricas_mlp.csv,852,4e5a8dbd0a60ecdee2b54645a7bacd24eff0fc4f770df03263a7974e75a48cc6
Semana3/outputs/24_clf_generalizacion_mlp.csv,506,95d7d51a908bf2bc3745fbcb2c23fd459cfea0f4459ef6a2f935d7279ae2d643
Semana3/outputs/25_clf_advertencias_mlp.csv,26,4ff048bdc5c7f26ba984ff04a8fb8b7e529729305f6491c0a244a61b295bfbcf
Semana3/outputs/26_clf_curvas_loss.csv,7371,46b46f9b777ae6c201824f232b2d8ab3cdc9b4ff80607bfebc20ff361a8a3091
Semana3/outputs/27_clf_curvas_validacion.csv,7324,5e4824b6b874cb5e5fc1fc6e0a7239a6ed248d3137bc92e3ea035ce5e0a80038
Semana3/outputs/28_clf_predicciones_test.csv,1677,28bae41174c211987e0782480f9a8158b26be17270096e8709b626913826dc1c
Semana3/outputs/29_1_matriz_confusion.csv,94,3f150eb2e778ea156157c93f4de4659313b293fc4ea82cba1fde88dea53e8104
Semana3/outputs/29_2_matriz_confusion.csv,94,c16df00d6b8fe69114a6cb3da14dc88f4f7ae20578a53ef92c86868f50ac7375
Semana3/outputs/29_3_matriz_confusion.csv,94,b879d35badac1bf42d06830fad2dd3a6b5ae252d2ff0f8eef285bbe7e7545837
Semana3/outputs/32_clf_comparacion_arquitecturas.csv,1289,8cfd7a5454d8e36dd3961142fe1b0eb3961935b0eddc50f0e79d36d7e96b8c21
Semana3/outputs/33_control_artefactos_requeridos.csv,1553,49f78634817787e440f65c0397ec1f59624bc7e5280e827804f778b5e33fd003
Semana3/figures/01_reg_distribucion_medhouseval.png,37451,5b694090918bdc4a0d684f5c3f55f86d1352af29993fd436bfc0049a12b46fc4
Semana3/figures/02_reg_correlaciones_entrenamiento.png,52071,da9a24c9bc158b6352af62a3f99f0a84efd4501642f18839384ca8d609b7bb5d
Semana3/figures/03_reg_ajuste_hiperparametros_cv.png,136708,4ea565b4af28c05c30cf2e86b9432f8459d672e6f153992e9c335e8e667b44b8
Semana3/figures/04_reg_comparacion_metricas.png,122171,45fdb667f83636294075fe53efcef57df4347b2fe099399e0f24748faf9f2b99
Semana3/figures/05_clf_distribucion_clases.png,33274,4e80e9c7041758ac3db453829820625ee98cfc7cfa2c9b21dfc9072bba02f2f3
Semana3/figures/06_clf_valores_faltantes.png,32431,899298edfe053f832f15c73b317847ae9842d79219072099b4e14583820ef95f
Semana3/figures/07_clf_patrones_categoricos.png,50031,24802f7ee28504e81a8d7f74266a607174a55561e312c5858353adc2b8532fb8
