Tipo,Archivo,Existe,Bytes
output,01_reg_perfil_dataset.csv,True,109
output,04_reg_dimensiones_split.csv,True,99
output,07_reg_fichas_configuracion_inicial.csv,True,475
output,08_reg_ajuste_hiperparametros_cv.csv,True,8023
output,09_reg_mejores_hiperparametros.json,True,77
output,10_reg_metricas_comparacion.csv,True,990
output,12_clf_perfil_dataset.csv,True,141
output,14b_clf_control_filas_repetidas.csv,True,326
output,15_clf_distribucion_clases.csv,True,79
output,17_clf_patrones_categoricos.csv,True,328
output,18_clf_patrones_numericos.csv,True,557
output,19_clf_dimensiones_split.csv,True,64
output,21b_clf_control_preprocesamiento.csv,True,95
output,22_clf_fichas_tecnicas_mlp.csv,True,463
output,23_clf_metricas_mlp.csv,True,852
output,24_clf_generalizacion_mlp.csv,True,506
output,32_clf_comparacion_arquitecturas.csv,True,1289
figure,01_reg_distribucion_medhouseval.png,True,37451
figure,03_reg_ajuste_hiperparametros_cv.png,True,136708
figure,04_reg_comparacion_metricas.png,True,122171
figure,05_clf_distribucion_clases.png,True,33274
figure,06_clf_valores_faltantes.png,True,32431
figure,07_clf_patrones_categoricos.png,True,50031
figure,08_clf_patrones_numericos.png,True,50547
figure,09_1_matriz_confusion.png,True,49121
figure,09_2_matriz_confusion.png,True,50267
figure,09_3_matriz_confusion.png,True,47278
figure,12_clf_curvas_loss.png,True,95304
figure,13_clf_curvas_validacion.png,True,102139
figure,14_clf_comparacion_metricas_mlp.png,True,66372
figure,15_clf_complejidad_parametrica.png,True,66345
